,image_path,au1,au2,au4,au6,au7,au10,au12,au14,au15,au17,au23,au24
70764,BP4D/aligned_images/F015/T6/01406.jpg,0,0,0,0,0,0,0,0,0,0,0,0
69527,BP4D/aligned_images/F015/T4/01921.jpg,1,0,0,1,1,1,1,1,0,1,0,0
17114,BP4D/aligned_images/F020/T6/00983.jpg,0,0,0,1,1,1,0,0,0,0,0,0
71986,BP4D/aligned_images/F017/T1/00629.jpg,0,0,0,1,1,1,1,1,0,1,1,1
15522,BP4D/aligned_images/F020/T2/01339.jpg,1,0,1,0,1,0,0,0,0,1,0,0
50345,BP4D/aligned_images/F004/T1/01086.jpg,0,0,0,1,1,1,1,1,0,0,0,0
12471,BP4D/aligned_images/F013/T3/00145.jpg,0,0,0,0,0,0,0,0,0,0,0,0
78909,BP4D/aligned_images/F021/T1/00215.jpg,0,0,0,1,1,1,1,0,0,0,0,0
9894,BP4D/aligned_images/F011/T5/01304.jpg,0,0,0,1,1,1,1,0,0,0,0,0
91859,BP4D/aligned_images/M009/T7/01058.jpg,0,0,0,1,1,1,1,1,0,0,0,0
35505,BP4D/aligned_images/M011/T7/01881.jpg,0,1,1,0,0,0,0,1,0,0,0,1
78968,BP4D/aligned_images/F021/T1/00274.jpg,0,0,0,1,1,1,1,0,0,0,0,0
43143,BP4D/aligned_images/M017/T1/00430.jpg,0,0,0,0,0,1,1,0,0,0,0,0
8482,BP4D/aligned_images/F011/T2/01226.jpg,0,0,0,0,0,0,0,0,0,1,0,0
93904,BP4D/aligned_images/M015/T4/00882.jpg,0,0,0,1,0,1,1,0,0,0,0,0
85317,BP4D/aligned_images/M003/T8/00252.jpg,1,1,0,1,1,1,1,1,1,0,1,0
61355,BP4D/aligned_images/F012/T1/00565.jpg,0,0,0,1,1,1,1,0,0,0,0,0
43674,BP4D/aligned_images/M017/T2/01187.jpg,0,0,1,0,0,0,0,0,0,0,0,0
67612,BP4D/aligned_images/F014/T7/00900.jpg,0,0,0,0,0,1,1,1,0,0,0,0
91029,BP4D/aligned_images/M009/T5/00841.jpg,0,0,0,0,0,0,0,1,0,0,1,0
84481,BP4D/aligned_images/M003/T6/00148.jpg,0,0,0,1,1,1,1,0,1,0,0,0
33464,BP4D/aligned_images/M011/T3/00085.jpg,0,0,1,0,0,0,0,0,0,0,0,0
55644,BP4D/aligned_images/F006/T4/00939.jpg,1,1,0,1,0,1,1,0,0,0,0,0
2962,BP4D/aligned_images/F003/T7/00307.jpg,1,1,0,1,1,1,1,1,0,0,0,0
62780,BP4D/aligned_images/F012/T4/01069.jpg,0,1,0,1,1,1,1,0,0,0,0,0
18839,BP4D/aligned_images/F022/T1/01542.jpg,0,0,0,1,1,1,1,1,1,1,0,0
88468,BP4D/aligned_images/M006/T7/01090.jpg,0,0,0,0,0,0,0,0,0,1,1,0
25662,BP4D/aligned_images/M002/T8/00494.jpg,1,1,0,1,1,0,0,0,0,0,0,0
76460,BP4D/aligned_images/F019/T3/00267.jpg,0,0,1,1,1,1,1,0,0,0,0,0
35691,BP4D/aligned_images/M011/T8/00081.jpg,1,1,0,1,1,1,0,1,0,1,0,0
36510,BP4D/aligned_images/M013/T2/00145.jpg,0,0,0,0,0,0,0,1,0,1,0,1
88266,BP4D/aligned_images/M006/T7/00888.jpg,0,0,1,0,0,1,0,0,0,1,0,0
66727,BP4D/aligned_images/F014/T5/00858.jpg,1,0,0,0,1,0,0,1,0,1,1,0
46395,BP4D/aligned_images/M017/T8/00069.jpg,0,0,1,0,1,1,0,1,0,0,0,0
30379,BP4D/aligned_images/M010/T3/00293.jpg,0,0,0,0,0,1,1,1,0,1,0,0
57507,BP4D/aligned_images/F007/T1/00680.jpg,0,0,0,1,1,1,1,1,0,0,1,0
53598,BP4D/aligned_images/F004/T8/00090.jpg,1,0,0,0,0,1,1,0,0,1,0,0
36283,BP4D/aligned_images/M013/T1/01080.jpg,0,0,0,1,1,1,1,1,0,1,0,1
93592,BP4D/aligned_images/M015/T3/00171.jpg,0,0,1,0,1,1,0,1,0,1,0,0
45378,BP4D/aligned_images/M017/T6/01008.jpg,0,0,1,1,1,1,0,0,0,1,1,1
86317,BP4D/aligned_images/M006/T2/01574.jpg,0,0,0,0,0,0,0,0,0,0,0,0
95777,BP4D/aligned_images/M015/T8/00227.jpg,0,0,0,1,1,1,1,1,0,0,0,0
25596,BP4D/aligned_images/M002/T8/00428.jpg,0,0,0,1,1,0,0,1,0,0,0,0
85877,BP4D/aligned_images/M006/T2/01134.jpg,0,0,0,0,0,0,0,0,0,0,0,0
31573,BP4D/aligned_images/M010/T6/00756.jpg,0,0,0,0,0,0,0,0,0,0,0,0
36127,BP4D/aligned_images/M013/T1/00924.jpg,0,0,0,1,1,0,1,1,0,1,0,1
22058,BP4D/aligned_images/M002/T1/00243.jpg,0,0,0,0,0,0,0,1,0,0,1,1
53970,BP4D/aligned_images/F006/T1/00486.jpg,0,1,0,0,0,0,1,0,0,1,0,1
67766,BP4D/aligned_images/F014/T7/01054.jpg,1,0,0,0,0,0,1,1,0,0,1,0
3909,BP4D/aligned_images/F005/T1/01084.jpg,1,0,0,0,0,0,1,0,1,1,0,1
60632,BP4D/aligned_images/F007/T7/01094.jpg,0,0,0,1,1,1,1,1,0,0,0,0
41107,BP4D/aligned_images/M016/T4/00600.jpg,0,0,0,1,1,1,1,1,0,0,0,0
95832,BP4D/aligned_images/M015/T8/00282.jpg,0,0,1,1,1,1,0,1,0,0,0,0
82137,BP4D/aligned_images/M003/T1/00221.jpg,0,0,0,1,0,1,1,1,0,0,0,0
81098,BP4D/aligned_images/F021/T6/00210.jpg,1,0,0,1,1,1,1,1,0,0,0,0
28317,BP4D/aligned_images/M005/T6/00478.jpg,1,0,1,0,0,1,1,1,0,0,0,0
76878,BP4D/aligned_images/F019/T4/00417.jpg,0,0,0,1,1,1,1,0,0,1,0,1
86873,BP4D/aligned_images/M006/T4/00752.jpg,0,0,0,1,1,1,1,0,1,1,0,0
52258,BP4D/aligned_images/F004/T5/01014.jpg,1,1,0,1,1,1,1,1,0,0,0,0
32110,BP4D/aligned_images/M010/T7/00330.jpg,0,0,0,0,0,1,1,1,1,0,0,1
20786,BP4D/aligned_images/F022/T6/00037.jpg,0,0,0,0,0,0,0,0,0,1,0,0
10889,BP4D/aligned_images/F011/T7/01253.jpg,0,0,0,0,0,1,1,0,0,0,0,0
37672,BP4D/aligned_images/M013/T4/00734.jpg,0,0,0,0,1,1,0,0,0,0,1,0
58112,BP4D/aligned_images/F007/T2/00162.jpg,0,0,1,1,1,0,0,0,0,0,0,0
2245,BP4D/aligned_images/F003/T5/00860.jpg,0,0,0,1,0,0,0,1,0,0,0,0
10798,BP4D/aligned_images/F011/T7/01162.jpg,0,0,0,1,1,1,1,1,0,1,1,0
22969,BP4D/aligned_images/M002/T2/00449.jpg,0,0,0,0,0,0,0,1,0,0,0,0
64842,BP4D/aligned_images/F014/T1/00671.jpg,0,0,0,0,0,0,0,1,0,1,0,0
35168,BP4D/aligned_images/M011/T7/01544.jpg,0,0,0,0,0,0,0,0,0,0,0,0
49902,BP4D/aligned_images/M018/T7/00998.jpg,0,0,0,0,0,0,0,0,0,0,0,0
67876,BP4D/aligned_images/F014/T8/00045.jpg,0,0,1,0,1,0,1,0,1,1,1,1
62195,BP4D/aligned_images/F012/T3/00174.jpg,0,0,1,1,1,1,0,1,0,0,0,0
74153,BP4D/aligned_images/F017/T6/00976.jpg,0,0,0,0,0,0,0,0,0,0,1,1
92044,BP4D/aligned_images/M009/T7/01243.jpg,0,0,0,1,1,1,1,1,0,0,0,0
18549,BP4D/aligned_images/F022/T1/01252.jpg,0,0,0,1,1,0,0,1,1,1,1,0
67062,BP4D/aligned_images/F014/T6/00713.jpg,0,0,0,0,1,1,0,1,0,1,0,0
65087,BP4D/aligned_images/F014/T2/00583.jpg,0,0,0,0,0,0,0,0,0,0,0,0
56146,BP4D/aligned_images/F006/T5/00894.jpg,0,1,0,0,0,1,1,0,0,1,0,0
45961,BP4D/aligned_images/M017/T7/00934.jpg,0,0,0,0,1,1,1,1,0,0,0,0
50423,BP4D/aligned_images/F004/T1/01164.jpg,0,0,0,1,1,1,1,1,1,1,1,1
50522,BP4D/aligned_images/F004/T2/01147.jpg,1,0,1,0,0,0,0,0,0,0,0,0
10521,BP4D/aligned_images/F011/T7/00885.jpg,0,0,0,1,0,1,1,1,1,0,0,0
3311,BP4D/aligned_images/F003/T8/00547.jpg,1,1,0,1,1,1,1,0,0,0,0,0
57926,BP4D/aligned_images/F007/T1/01099.jpg,0,0,0,1,1,1,1,1,0,1,0,0
87175,BP4D/aligned_images/M006/T5/00805.jpg,0,0,0,0,0,1,0,0,0,1,0,0
28839,BP4D/aligned_images/M005/T7/01393.jpg,0,0,0,1,1,1,1,1,0,1,0,1
86486,BP4D/aligned_images/M006/T3/00147.jpg,0,0,0,0,0,0,1,0,0,0,0,0
8843,BP4D/aligned_images/F011/T3/00279.jpg,0,0,0,1,1,1,1,1,0,0,0,0
9636,BP4D/aligned_images/F011/T5/01046.jpg,0,0,0,1,1,1,1,0,0,0,0,0
40944,BP4D/aligned_images/M016/T4/00437.jpg,0,0,0,1,1,1,1,1,0,1,0,0
11144,BP4D/aligned_images/F011/T8/00217.jpg,0,0,0,1,1,1,1,1,0,1,1,0
26110,BP4D/aligned_images/M005/T1/00717.jpg,0,0,0,1,1,1,1,0,0,0,0,0
70740,BP4D/aligned_images/F015/T6/01382.jpg,0,0,0,0,0,0,0,0,0,0,0,0
64000,BP4D/aligned_images/F012/T7/01703.jpg,0,0,0,1,0,0,1,0,1,1,1,0
89747,BP4D/aligned_images/M009/T2/00885.jpg,0,0,1,0,0,0,0,0,0,0,0,0
30458,BP4D/aligned_images/M010/T4/00489.jpg,0,0,0,0,0,1,0,1,0,1,0,1
75429,BP4D/aligned_images/F019/T1/00421.jpg,0,0,0,1,1,1,1,1,0,0,0,0
20555,BP4D/aligned_images/F022/T5/00584.jpg,0,0,0,1,1,0,1,1,1,1,1,1
30744,BP4D/aligned_images/M010/T4/00775.jpg,0,0,0,0,0,1,1,1,0,1,0,0
67278,BP4D/aligned_images/F014/T6/00929.jpg,0,0,1,0,1,1,1,1,0,1,1,1
68762,BP4D/aligned_images/F015/T2/01282.jpg,0,0,0,0,0,0,0,0,0,0,0,0
88082,BP4D/aligned_images/M006/T7/00704.jpg,0,0,0,0,0,1,0,0,0,0,0,0
54438,BP4D/aligned_images/F006/T2/01202.jpg,0,1,1,0,1,0,0,0,0,1,1,1
65888,BP4D/aligned_images/F014/T4/00002.jpg,0,0,0,0,0,0,0,1,0,1,0,0
74481,BP4D/aligned_images/F017/T6/01304.jpg,0,0,0,0,0,0,0,0,0,0,0,1
77140,BP4D/aligned_images/F019/T5/00384.jpg,0,1,0,1,1,1,1,1,0,0,0,0
