,image_path,au1,au2,au4,au6,au9,au12,au25,au26
34040,DISFA/aligned_images/SN028/00126.jpg,0,0,0,1,0,1,1,0
83591,DISFA/aligned_images/SN029/01253.jpg,0,0,0,0,0,0,0,0
13426,DISFA/aligned_images/SN012/03737.jpg,0,0,0,0,0,0,0,0
23602,DISFA/aligned_images/SN018/04223.jpg,0,0,0,0,0,0,0,0
19322,DISFA/aligned_images/SN013/04788.jpg,0,0,0,1,0,1,1,0
28336,DISFA/aligned_images/SN021/04112.jpg,0,0,0,0,0,0,0,0
31833,DISFA/aligned_images/SN024/02764.jpg,0,0,0,0,0,0,0,0
16537,DISFA/aligned_images/SN013/02003.jpg,0,0,0,0,0,0,0,0
26008,DISFA/aligned_images/SN021/01784.jpg,0,0,1,0,0,0,0,0
74487,DISFA/aligned_images/SN023/01825.jpg,1,1,1,0,1,0,1,0
30843,DISFA/aligned_images/SN024/01774.jpg,0,0,0,0,0,0,1,0
14360,DISFA/aligned_images/SN012/04671.jpg,0,0,0,0,0,0,1,1
25016,DISFA/aligned_images/SN021/00792.jpg,0,0,0,0,0,0,0,0
7341,DISFA/aligned_images/SN011/02497.jpg,0,0,1,0,0,0,1,0
48105,DISFA/aligned_images/SN003/04501.jpg,0,0,0,0,0,0,1,0
76744,DISFA/aligned_images/SN023/04082.jpg,0,0,0,0,0,0,1,0
73577,DISFA/aligned_images/SN023/00903.jpg,0,0,0,0,0,0,0,0
82090,DISFA/aligned_images/SN025/04583.jpg,0,0,0,0,0,0,1,1
66876,DISFA/aligned_images/SN008/03892.jpg,0,0,0,0,0,0,0,0
28835,DISFA/aligned_images/SN021/04611.jpg,0,0,0,0,0,0,1,0
18219,DISFA/aligned_images/SN013/03685.jpg,0,0,0,0,0,0,0,0
74804,DISFA/aligned_images/SN023/02142.jpg,0,0,0,0,0,0,1,0
52232,DISFA/aligned_images/SN004/03783.jpg,0,0,0,0,0,0,0,0
77561,DISFA/aligned_images/SN025/00054.jpg,0,0,0,0,0,0,0,0
43775,DISFA/aligned_images/SN003/00171.jpg,0,0,0,1,0,1,1,1
81047,DISFA/aligned_images/SN025/03540.jpg,0,0,0,0,0,0,1,0
9190,DISFA/aligned_images/SN011/04346.jpg,0,0,1,0,0,0,0,0
1503,DISFA/aligned_images/SN006/01504.jpg,0,0,0,1,0,1,1,0
578,DISFA/aligned_images/SN006/00579.jpg,0,0,0,0,0,1,1,0
9768,DISFA/aligned_images/SN012/00079.jpg,0,0,0,0,0,0,0,0
84251,DISFA/aligned_images/SN029/01915.jpg,0,0,0,0,0,0,0,0
41967,DISFA/aligned_images/SN031/03208.jpg,0,0,0,0,0,0,0,0
68711,DISFA/aligned_images/SN017/00882.jpg,0,0,0,0,0,0,0,0
56307,DISFA/aligned_images/SN005/03013.jpg,0,0,0,0,0,0,0,0
15939,DISFA/aligned_images/SN013/01405.jpg,0,0,0,0,0,0,0,0
19341,DISFA/aligned_images/SN013/04807.jpg,0,0,0,1,0,1,1,0
29960,DISFA/aligned_images/SN024/00891.jpg,0,0,0,0,0,0,0,0
8448,DISFA/aligned_images/SN011/03604.jpg,0,0,1,0,0,0,0,0
42870,DISFA/aligned_images/SN031/04111.jpg,0,0,0,0,0,0,0,0
75002,DISFA/aligned_images/SN023/02340.jpg,0,0,0,0,0,0,1,0
15511,DISFA/aligned_images/SN013/00977.jpg,0,0,0,1,0,1,1,1
9255,DISFA/aligned_images/SN011/04411.jpg,0,1,1,0,0,0,0,0
82608,DISFA/aligned_images/SN029/00256.jpg,0,0,0,0,0,0,0,0
73796,DISFA/aligned_images/SN023/01134.jpg,0,0,0,0,0,0,1,0
29234,DISFA/aligned_images/SN024/00165.jpg,0,0,0,1,0,1,1,0
45709,DISFA/aligned_images/SN003/02105.jpg,0,0,1,1,1,0,1,1
41051,DISFA/aligned_images/SN031/02292.jpg,0,0,0,0,0,1,1,1
21464,DISFA/aligned_images/SN018/02085.jpg,0,0,1,0,0,0,0,0
29239,DISFA/aligned_images/SN024/00170.jpg,0,0,0,1,0,1,1,0
